_id,nome,email,senha,telefone,data_nascimento,endereco.rua,endereco.numero,endereco.complemento,endereco.bairro,endereco.cidade,endereco.estado,endereco.cep,endereco.coordenadas[0],endereco.coordenadas[1],preferencias_alimentares[0],preferencias_alimentares[1],preferencias_alimentares[2],restricoes_dieteticas[0],restricoes_dieteticas[1],data_cadastro,ultima_atualizacao,status
683d8d05c709d34c0311e2e7,Mrs. Marguerite Stamm,art.pagac46@yahoo.com,gzKcExBbyM8aZT1,765-433-4423 x56963,1963-02-04T21:51:12.591Z,W Washington Street,69663,,Lee County,Akron,DE,61415-542,-95.385,3.9654,,,,,,2023-12-25T15:08:11.479Z,2025-05-31T03:59:58.492Z,ativo
683d8d05c709d34c0311e2ed,Ted Schiller,angeline_von47@hotmail.com,Wdd_mAPfwbFgNSb,(256) 586-0112 x914,1960-05-15T15:18:15.457Z,Oran Parkways,831,,Marshall County,Kertzmannport,AR,79966-086,135.0456,-71.7313,frutos do mar,carnes,comida japonesa,lactose,,2025-01-05T11:59:06.824Z,2025-05-19T15:20:03.316Z,ativo
683d8d05c709d34c0311e2ee,Mr. Philip Kohler,alyson_raynor@hotmail.com,KoUentqEQwtm8Lv,471-638-7489 x13243,1968-02-29T02:43:50.277Z,Jasen Lights,96573,,Surrey,Boganboro,WI,68940-465,165.3238,63.4134,comida japonesa,carnes,,glúten,camarão,2024-10-31T20:23:32.419Z,2025-03-05T02:13:27.966Z,ativo
683d8d05c709d34c0311e2f0,Patti Murazik,jacques_mayert@gmail.com,lUQ7_xeHCLo0Tld,(898) 626-7462 x4912,1961-02-05T01:11:26.050Z,Rowe Point,180,,North Yorkshire,Jermeybury,ID,40579-739,165.7386,87.0572,,,,camarão,,2025-01-02T22:23:37.100Z,2025-03-24T15:08:49.711Z,ativo
683d8d05c709d34c0311e2f2,Dr. Wilma Lakin,elmo_bashirian@hotmail.com,Q3Ul55J5QguwXa7,(481) 608-1152 x305,1991-10-03T03:08:01.464Z,Jefferson Street,574,Casa 1,Marshall County,Daly City,SD,34804-436,12.1069,45.2302,vegetariano,,,,,2024-03-10T11:10:02.078Z,2025-05-29T22:13:08.810Z,ativo
683d8d05c709d34c0311e2fc,Gayle Nicolas,dillan.heidenreich@yahoo.com,W5C3dsbil6wug0u,580.241.5333 x96386,1995-07-15T19:45:33.101Z,Mueller Glen,9924,Casa 1,Nottinghamshire,West Lisandrobury,MS,75654-062,-156.0076,63.2066,frutos do mar,,,,,2025-03-15T06:54:50.211Z,2025-03-11T16:10:05.972Z,ativo
683d8d05c709d34c0311e303,Agnes Parker,peyton.bahringer92@yahoo.com,BwsByJuaKRDAXbC,289-226-7192,1959-09-08T23:56:23.870Z,Ludie Mountains,9068,,Dorset,Port Thurman,OK,26998-816,-91.9606,2.9528,massas,sem glúten,vegetariano,,,2024-07-16T20:41:43.404Z,2025-05-03T00:19:24.174Z,inativo
683d8d05c709d34c0311e308,Kelvin Koch,laurel_douglas99@gmail.com,LdRZSJl1UmCnv1B,(286) 562-0838 x820,1978-01-24T19:13:36.231Z,E 10th Street,224,,West Glamorgan,Elfriedafield,NH,40731-084,-90.7852,-44.174,,,,amendoim,camarão,2024-10-08T08:02:21.681Z,2025-03-10T00:37:11.540Z,inativo
683d8d05c709d34c0311e30d,Al Glover,ashley_funk53@yahoo.com,3mHa9UCSPXPRLoV,1-486-750-9790 x05054,1990-03-27T23:45:45.470Z,Field Lane,335,Apto 154,Staffordshire,Kemmerfield,UT,80110-248,42.9867,-58.8362,frutos do mar,,,,,2025-01-29T22:33:08.344Z,2025-04-20T04:07:00.494Z,ativo
683d8d05c709d34c0311e310,Rudy Rosenbaum-Gislason,juanita_collier88@yahoo.com,Twa9_2Q6E6lrklk,696-840-3550 x88834,1979-08-12T23:31:34.800Z,Trinity Road,29701,,Central,Arnefield,AK,07543-955,-162.775,-64.4731,comida japonesa,frutos do mar,,amendoim,lactose,2024-12-24T08:40:09.627Z,2025-03-30T20:49:53.876Z,ativo
683d8d05c709d34c0311e312,Seth Crist,kathlyn.steuber61@hotmail.com,hARxAH_VH2U9W4s,484.901.5684 x40179,2005-08-01T15:12:59.850Z,Wintheiser Well,927,Apto 140,Tayside,Feilville,ME,06485-653,46.1994,86.4583,carnes,,,,,2024-08-03T07:53:16.051Z,2025-04-08T16:49:10.199Z,inativo
683d8d05c709d34c0311e314,Julius Armstrong,myrtice_kertzmann37@gmail.com,gJceGPWET2KOdlz,768.253.8997 x703,1965-07-29T22:59:30.906Z,Maple Road,3550,Apto 139,Surrey,Moenborough,LA,35109-684,29.7492,69.0311,,,,amendoim,camarão,2023-09-12T21:47:12.094Z,2025-06-02T08:28:42.718Z,ativo
683d8d05c709d34c0311e315,May Wintheiser,harry.leannon26@hotmail.com,oekRlxY7U46Vdub,799.428.7666 x5117,1985-05-08T22:51:17.013Z,Trantow Meadows,56023,,East Sussex,Feliciaport,TX,02834-862,-107.7345,-20.8231,massas,carnes,,,,2023-12-04T17:27:56.305Z,2025-04-15T10:07:06.877Z,ativo
683d8d05c709d34c0311e316,Dr. Jamie Hoppe,nikko.mills@gmail.com,oOULt0bf7IFwnGw,1-500-911-1312 x196,2000-07-27T04:46:43.068Z,N Broadway,6977,,Suffolk,Hammesville,KS,63659-739,17.1798,19.2809,massas,vegetariano,sem glúten,,,2025-03-31T09:02:44.091Z,2025-05-08T04:57:29.056Z,ativo
683d8d05c709d34c0311e318,Anne Murphy-Little,angie_stamm28@hotmail.com,GoC2Ca6Ca108oPm,1-633-537-4155 x4904,1998-05-28T15:33:34.627Z,Mill Lane,841,,Pike County,Faheycester,WV,98632-619,-105.2702,-41.2178,carnes,comida japonesa,,,,2024-02-13T20:55:41.716Z,2025-05-23T20:27:57.684Z,ativo
683d8d05c709d34c0311e31d,Bernadette Rippin,kathlyn_keebler@hotmail.com,Hp2oUoy_1CLWpXX,(344) 752-8096 x485,1979-03-14T21:31:59.856Z,Labadie Land,538,Apto 112,Jackson County,South Dedricberg,AZ,52148-527,-69.4504,56.3986,,,,camarão,,2024-05-19T08:08:51.277Z,2025-04-28T22:49:48.886Z,ativo
683d8d05c709d34c0311e320,Jodi Hettinger,mayra_terry17@yahoo.com,_0QtVfBc6iTkrIX,1-373-754-6662 x550,1962-06-14T04:08:09.652Z,N Water Street,17840,,Greater Manchester,Trompside,NY,72588-933,107.1332,-88.6712,comida japonesa,massas,sem glúten,amendoim,,2024-09-25T09:10:04.983Z,2025-04-04T19:31:32.155Z,ativo
683d8d05c709d34c0311e326,Guy Stanton,garfield.kilback@gmail.com,DRJdzUumdgUNRjc,813-707-1869 x32796,2002-06-07T13:27:39.015Z,Christiansen Shoals,9662,Casa 5,Tayside,Fort Leone,NM,18900-162,-31.4491,-16.7814,,,,,,2024-08-31T02:39:00.565Z,2025-05-26T12:44:20.734Z,ativo
683d8d05c709d34c0311e329,Gilberto Daugherty,jerel7@yahoo.com,OH52gchXD2G2nUm,1-786-660-6821 x0864,1983-04-17T02:38:32.706Z,Stiedemann Mews,24903,Casa 3,Gwynedd County,Horaceside,CA,33499-240,-170.8813,-73.8443,frutos do mar,,,lactose,,2025-01-11T03:33:58.626Z,2025-05-10T15:09:52.599Z,ativo
683d8d05c709d34c0311e334,Miss Elvira Wiegand,wanda_brown@gmail.com,xBpTRVqtuL0sJ1M,557-568-0610 x32474,1981-10-08T11:56:49.509Z,Edward Street,6300,Apto 83,Essex,South Hudson,AL,65053-829,2.8755,19.1114,,,,lactose,amendoim,2025-05-04T20:42:55.089Z,2025-04-01T19:35:39.549Z,inativo
683d8d05c709d34c0311e335,Paula Funk,juwan_donnelly-parisian@hotmail.com,cJ1ofDBpQQTEFMW,217.502.6567 x13338,1969-06-30T13:28:29.330Z,Lincoln Avenue,7462,Casa 5,West Glamorgan,Loyceburgh,MT,43481-044,-143.8306,11.7067,frutos do mar,sem glúten,,camarão,lactose,2024-11-04T14:47:14.227Z,2025-05-20T12:39:33.991Z,ativo
683d8d05c709d34c0311e338,Rosa Hyatt,winifred_krajcik7@gmail.com,CWAQQ4i9VQ0th6O,1-688-401-4454,1969-04-29T20:35:57.362Z,Greenfelder Course,48074,Apto 122,Fayette County,New Thurman,CA,53945-823,-109.1551,17.5328,comida japonesa,,,glúten,,2024-07-01T15:00:00.422Z,2025-04-10T17:25:39.621Z,ativo
683d8d05c709d34c0311e33d,Lyle Kautzer,mercedes96@hotmail.com,aX1FI2ahf0bYkvf,1-473-956-2373 x1199,1976-07-28T10:08:57.320Z,Weimann Common,3032,,Clwyd,Port Oceaneland,LA,79726-764,38.0326,-20.0425,,,,amendoim,camarão,2023-12-26T04:02:19.578Z,2025-04-11T11:39:02.606Z,ativo
683d8d05c709d34c0311e341,Zachary Rau DVM,janie.champlin@gmail.com,BYXwV14pPTRLIWu,975-250-5992,1984-04-25T19:48:02.476Z,Gottlieb Flats,612,,Essex,East Shaniyamouth,ND,29480-729,-68.021,-16.8582,,,,lactose,camarão,2025-01-26T12:12:43.009Z,2025-04-08T22:32:42.629Z,ativo
683d8d05c709d34c0311e345,Sonya Blick-Macejkovic,juston56@hotmail.com,DauRear8l51CV5m,1-307-301-6671 x040,2002-09-29T19:49:42.606Z,Rosanna Crossroad,3158,Casa 2,Lee County,Port Jennyfer,GA,18301-880,71.4679,-77.1825,vegetariano,massas,carnes,lactose,,2025-01-14T07:42:03.429Z,2025-05-18T19:50:48.389Z,ativo
683d8d05c709d34c0311e34b,Matthew Ryan,kennedi.lockman94@gmail.com,3vy7WJOoprrTk3a,588-373-8825,1962-03-07T16:29:31.963Z,Bruce Corner,6488,Apto 160,Powys,New Bernadinefield,MT,41862-062,160.0351,75.7345,carnes,,,lactose,amendoim,2023-10-18T08:03:29.714Z,2025-04-14T05:18:57.088Z,inativo
683d8d05c709d34c0311e34f,Wilson Nicolas II,nella.goldner36@yahoo.com,0dCsBDEfVs3y594,911-452-0917,1963-02-27T08:26:33.671Z,Castle Close,49344,,Dyfed,West Rusty,OK,72706-170,21.727,65.7754,frutos do mar,,,camarão,glúten,2024-09-27T18:16:02.932Z,2025-04-06T04:24:18.899Z,ativo
683d8d05c709d34c0311e350,Monique Batz,chad.ortiz77@hotmail.com,kyDuoKmNAktINlf,(626) 979-9499,1987-11-22T08:44:03.791Z,Common Lane,937,Apto 14,Cheshire,Flagstaff,NJ,46023-920,41.4587,-87.4259,vegetariano,,,camarão,lactose,2024-02-02T10:00:24.883Z,2025-04-07T11:24:37.889Z,inativo
683d8d05c709d34c0311e353,Saul Cummerata,shany_borer@yahoo.com,PIxcsL3OCX4kV7r,1-644-828-6334 x477,1974-06-22T05:50:58.071Z,Name Hollow,32355,,Wayne County,Toms River,OR,38748-740,-121.9378,-56.2244,vegetariano,,,,,2023-09-29T06:33:16.024Z,2025-05-11T02:04:57.823Z,ativo
683d8d05c709d34c0311e356,Amelia McKenzie,iliana14@gmail.com,ItRfZEgtSWGdj9r,219-516-3980 x020,1965-09-24T04:02:31.439Z,Poplar Close,91430,,Gwynedd County,Runolfssonboro,MO,81982-026,-125.1346,24.3469,,,,glúten,,2025-04-14T22:17:14.840Z,2025-04-01T23:46:24.258Z,ativo
683d8d05c709d34c0311e357,Sabrina Boyle,edmond.trantow@hotmail.com,nGVyohWhvQQgfJ5,1-740-871-8150,1998-05-28T23:49:46.952Z,Fae Way,6349,Casa 2,County Antrim,Lake Charity,GA,18829-258,6.8415,-75.1659,massas,sem glúten,carnes,camarão,,2024-06-02T05:55:55.356Z,2025-05-26T00:29:37.301Z,ativo
683d8d05c709d34c0311e359,Terrence Ritchie,joshua69@gmail.com,CGuwhanH3FQrvzH,(351) 918-5000 x845,1972-04-11T21:21:04.564Z,Abernathy Keys,9502,Casa 3,Herefordshire,Lake Montanachester,MN,77734-119,-154.1243,28.2771,,,,amendoim,,2024-10-31T22:30:29.063Z,2025-05-31T13:11:14.342Z,inativo
683d8d05c709d34c0311e35a,Dr. Gustavo Medhurst,lysanne64@gmail.com,6yyQn_gZgAlOwlB,(312) 930-6243,2004-01-29T05:15:44.111Z,Padberg Cape,570,,Fife,Sandy,VT,57849-342,-38.8306,-66.8607,frutos do mar,vegetariano,massas,lactose,,2025-01-18T06:59:54.169Z,2025-04-11T08:11:59.610Z,ativo
683d8d05c709d34c0311e35e,Vickie Halvorson,lottie_funk75@gmail.com,zmVZw5LCeJgT8gz,1-314-939-9733 x28023,1986-09-14T11:51:30.419Z,Field Close,594,Apto 68,Jefferson County,New Joanniefield,WI,01642-149,87.7041,22.2428,sem glúten,frutos do mar,vegetariano,camarão,,2025-01-05T09:30:33.163Z,2025-06-02T10:17:39.223Z,inativo
683d8d05c709d34c0311e361,Lynne West,vilma_langosh31@gmail.com,RWnInOakvSVU8x0,893-274-9889 x58110,1978-02-27T04:35:29.299Z,Balmoral Road,632,Casa 1,Hancock County,Margate,NC,46877-441,-134.0379,-50.4063,,,,amendoim,,2024-08-05T21:03:50.181Z,2025-04-08T04:24:20.723Z,inativo
683d8d05c709d34c0311e284,Hubert Schumm,maurine_senger71@yahoo.com,JY01VTLSu_pVgSp,(361) 959-7712 x084,1975-07-18T08:23:11.460Z,DuBuque Terrace,752,Casa 2,County Down,Jakubowskicester,MT,19418-504,5.9512,-33.5099,comida japonesa,massas,vegetariano,lactose,glúten,2023-10-16T07:12:38.605Z,2025-04-17T01:59:07.231Z,ativo
683d8d05c709d34c0311e285,Julia Greenfelder,nova_parker21@gmail.com,PeRQAM3qdtkj4bM,358.931.9670 x76897,1984-04-10T14:22:33.916Z,Block Drive,412,,Strathclyde,Madera,HI,23138-131,127.8712,4.5946,comida japonesa,sem glúten,frutos do mar,lactose,,2024-03-12T06:38:06.118Z,2025-05-23T12:06:49.877Z,ativo
683d8d05c709d34c0311e286,Freddie Kuhic,darby75@hotmail.com,kPWKd5sV_fU4mJi,1-755-997-8259,1994-04-03T02:12:58.905Z,Monahan Brook,411,Apto 140,Adams County,Port Seth,TN,80142-784,21.325,-13.8304,massas,frutos do mar,carnes,,,2023-08-27T13:01:42.031Z,2025-03-18T15:33:59.237Z,inativo
683d8d05c709d34c0311e28d,Felicia Mohr,twila9@yahoo.com,D_5GKFZwxk1fqA0,(521) 392-4847 x077,2001-09-27T20:20:16.341Z,Welch Village,588,Apto 78,Madison County,Lenexa,FL,40608-440,91.2174,15.6145,frutos do mar,vegetariano,carnes,glúten,camarão,2024-10-11T20:06:15.688Z,2025-03-26T22:51:35.131Z,ativo
683d8d05c709d34c0311e292,Anne Wehner,deon_batz99@yahoo.com,_JUmgj0QQL0b2VS,1-436-994-6332 x67952,1975-09-30T06:44:52.806Z,Arvid Brook,41476,Casa 3,Nottinghamshire,Bergstromfield,NV,33573-699,-167.2524,79.2973,,,,camarão,lactose,2024-03-18T19:10:02.765Z,2025-05-21T07:07:06.076Z,ativo
683d8d05c709d34c0311e294,Kathryn Muller,mackenzie53@gmail.com,JBp9n2idp1qFbA5,491-754-3175,1994-01-05T06:36:11.125Z,Sauer Radial,46304,Apto 96,South Glamorgan,South Susie,KY,70298-905,135.6416,80.1768,,,,amendoim,,2025-03-19T22:23:46.778Z,2025-03-26T01:36:08.245Z,ativo
683d8d05c709d34c0311e296,Kristy Bogan,walter_daniel58@hotmail.com,wWygpwpg81nka9c,1-249-385-2104,1977-12-22T00:30:27.247Z,The Oval,183,,Mid Glamorgan,Riceport,VA,44902-181,144.2091,-72.2029,,,,amendoim,,2025-03-28T21:43:53.348Z,2025-03-08T01:23:40.516Z,ativo
683d8d05c709d34c0311e297,Freda Volkman,johathan_wintheiser47@yahoo.com,rtGNNB5TJp7hmdw,695.382.1390,1986-12-11T14:23:48.544Z,Denesik Fall,751,Casa 3,Lake County,Lake Josianecester,KY,94360-676,46.7463,-6.6685,comida japonesa,frutos do mar,massas,,,2024-12-22T08:29:04.272Z,2025-03-18T02:25:53.314Z,ativo
683d8d05c709d34c0311e29a,Wanda Farrell,hobart_schuster-windler@hotmail.com,KF6uRiNhxdhy94u,694-319-5958 x485,1976-08-30T01:12:17.352Z,Monica Knoll,1123,Casa 5,Central,South Pearlview,WA,76077-308,159.9506,-75.4664,,,,camarão,,2023-11-09T05:13:50.118Z,2025-05-02T19:49:08.479Z,inativo
683d8d05c709d34c0311e29b,Gilbert Stamm,elvera_sipes28@yahoo.com,vv9hM1PPv8YDflz,(379) 847-9098 x9277,1976-05-25T02:03:07.677Z,N Court Street,469,Casa 2,Jackson County,West Trinityborough,OK,98058-557,-144.422,89.5759,frutos do mar,carnes,comida japonesa,lactose,amendoim,2024-01-14T08:25:57.181Z,2025-03-12T01:57:26.518Z,ativo
