_id,numero_pedido,usuario_id,restaurante_id,itens[0].prato_id,itens[1].prato_id,itens[2].prato_id,itens[3].prato_id,itens[4].prato_id,itens[0].nome,itens[1].nome,itens[2].nome,itens[3].nome,itens[4].nome,itens[0].quantidade,itens[1].quantidade,itens[2].quantidade,itens[3].quantidade,itens[4].quantidade,itens[0].preco_unitario,itens[1].preco_unitario,itens[2].preco_unitario,itens[3].preco_unitario,itens[4].preco_unitario,itens[0].preco_adicional,itens[1].preco_adicional,itens[2].preco_adicional,itens[3].preco_adicional,itens[4].preco_adicional,itens[0].observacoes,itens[1].observacoes,itens[2].observacoes,itens[3].observacoes,itens[4].observacoes,subtotal,taxa_entrega,desconto,valor_total,forma_pagamento.tipo,forma_pagamento.detalhes.bandeira,forma_pagamento.detalhes.ultimos_digitos,status_pagamento,tipo_pedido,endereco_entrega.rua,endereco_entrega.numero,endereco_entrega.complemento,endereco_entrega.bairro,endereco_entrega.cidade,endereco_entrega.estado,endereco_entrega.cep,endereco_entrega.coordenadas[0],endereco_entrega.coordenadas[1],status_pedido,historico_status[0].status,historico_status[1].status,historico_status[2].status,historico_status[3].status,historico_status[4].status,historico_status[0].data,historico_status[1].data,historico_status[2].data,historico_status[3].data,historico_status[4].data,historico_status[0].observacao,historico_status[1].observacao,historico_status[2].observacao,historico_status[3].observacao,historico_status[4].observacao,data_hora_pedido,data_hora_entrega_estimada,entregador.nome,entregador.telefone,avaliacao_id,cupom_id,observacoes,origem_pedido
683d8d06c709d34c0311e862,PED-20241211-000051,683d8d05c709d34c0311e429,683d8d05c709d34c0311e47d,683d8d05c709d34c0311e558,683d8d05c709d34c0311e549,683d8d05c709d34c0311e54b,683d8d05c709d34c0311e552,683d8d05c709d34c0311e547,Ergonomic Wooden Chicken,Elegant Marble Chicken,Handcrafted Rubber Mouse,Small Metal Ball,Intelligent Plastic Mouse,2,3,3,3,3,101.37386776051937,31.043765431704923,58.42097044306118,125.4591617879134,22.016884622680507,0,0,0,0,0,Avaritia molestiae alius civitas tabgo.,Aegre stillicidium deduco tabula odio cupio vinum defungo aperio.,Vel summopere arca.,Casso coerceo voluptatum triduana astrum arma.,Cuppedia utpote temperantia charisma.,913.57,2.4336399267985414,0,916,dinheiro,Visa,1910,aprovado,delivery,Schaden Field,945,Apto 172,Clwyd,Kayleighchester,MO,57969-062,1.7527,-24.1899,entregue,recebido,confirmado,em_preparo,a_caminho,entregue,2024-12-11T23:37:21.927Z,2024-12-12T01:29:28.325Z,2024-12-12T05:49:18.219Z,2024-12-12T10:02:33.590Z,2024-12-12T10:07:41.957Z,Pedido recebido,Confirmado pelo restaurante,Em preparo,Saiu para entrega,Entregue com sucesso,2024-12-11T23:37:21.927Z,2024-12-12T18:35:26.491Z,Destany,654-732-0113 x1392,,,Annus usque auctor deleo tamen ara.,app_mobile
683d8d06c709d34c0311e867,PED-20250405-000056,683d8d05c709d34c0311e3a9,683d8d05c709d34c0311e490,683d8d05c709d34c0311e6a3,683d8d05c709d34c0311e69b,683d8d05c709d34c0311e6a1,683d8d05c709d34c0311e696,,Electronic Rubber Chips,Sleek Bronze Cheese,Bespoke Cotton Mouse,Intelligent Concrete Towels,,1,3,1,3,,84.83419377421167,17.673901559973938,147.72550435862297,16.81252561419035,,0,0,0,0,,Celer stabilis compello centum ademptio fugit conspergo articulus desidero.,Patior vicissitudo corona.,Ustulo quas adversus tardus impedit casso custodia tyrannus adfero verus.,Aeternus laborum suspendo cupiditas voluptas vinculum validus maxime sumo inflammatio.,,336.02,13.521690075757276,0,349.54,dinheiro,Visa,0933,aprovado,retirada,Kent Road,778,Casa 4,Madison County,Schultzton,TX,11904-370,26.3179,-13.9146,entregue,recebido,confirmado,em_preparo,a_caminho,entregue,2025-04-06T00:24:02.999Z,2025-04-06T02:10:07.745Z,2025-04-06T02:30:11.561Z,2025-04-06T07:33:32.502Z,2025-04-06T08:02:40.960Z,Pedido recebido,Confirmado pelo restaurante,Em preparo,Saiu para entrega,Entregue com sucesso,2025-04-06T00:24:02.999Z,2025-04-06T23:11:46.092Z,Emelie,819.570.8047 x28385,,,Toties repellat alo coma caput.,website
683d8d06c709d34c0311e868,PED-20240727-000057,683d8d05c709d34c0311e326,683d8d05c709d34c0311e492,683d8d05c709d34c0311e6d2,683d8d05c709d34c0311e6cb,683d8d05c709d34c0311e6c6,,,Luxurious Rubber Bacon,Intelligent Bronze Shoes,Licensed Cotton Bacon,,,3,1,3,,,130.63442954969844,147.79782775474635,4.968027647798833,,,0,0,0,,,Thymum tubineus in rem thymbra deduco conor statua.,Dolor tabgo campana dolorum tergiversatio perspiciatis crepusculum territo.,Correptius apparatus tolero.,,,554.61,1.7515545679877853,0,556.36,pix,Visa,2468,aprovado,retirada,Christiansen Shoals,9662,Casa 5,Tayside,Fort Leone,NM,18900-162,-31.4491,-16.7814,a_caminho,recebido,confirmado,em_preparo,a_caminho,,2024-07-27T14:39:56.111Z,2024-07-27T15:31:05.597Z,2024-07-27T19:10:57.642Z,2024-07-27T22:19:47.748Z,,Pedido recebido,Confirmado pelo restaurante,Em preparo,Saiu para entrega,,2024-07-27T14:39:56.111Z,2024-07-27T23:02:15.076Z,Zack,(841) 260-0681 x2379,,,Tardus adficio urbanus degenero desparatus.,app_mobile
683d8d06c709d34c0311e86a,PED-20240610-000059,683d8d05c709d34c0311e3a0,683d8d05c709d34c0311e4a8,683d8d06c709d34c0311e82b,683d8d06c709d34c0311e82e,683d8d06c709d34c0311e828,683d8d06c709d34c0311e82a,,Handcrafted Metal Chair,Gorgeous Plastic Cheese,Bespoke Plastic Pizza,Incredible Concrete Gloves,,2,3,2,3,,92.09754622243982,92.35418103957777,94.08644709965955,101.42860161289896,,0,0,0,0,,Nihil utor patria bellum.,Sonitus crebro avarus ago accusator peccatus odit aro.,Canto admitto pax.,Tutamen perferendis victoria adsum corona cupressus colo omnis earum.,,953.72,6.943739907630318,0,960.66,dinheiro,Visa,1485,aprovado,retirada,Glover Haven,118,Casa 2,Gloucestershire,Lake Erniestad,NE,60643-276,-7.4297,-23.5752,entregue,recebido,confirmado,em_preparo,a_caminho,entregue,2024-06-10T13:40:18.251Z,2024-06-10T15:37:30.034Z,2024-06-10T20:17:46.579Z,2024-06-11T02:06:01.936Z,2024-06-11T10:19:43.842Z,Pedido recebido,Confirmado pelo restaurante,Em preparo,Saiu para entrega,Entregue com sucesso,2024-06-10T13:40:18.251Z,2024-06-11T10:24:19.168Z,Lon,(901) 492-6612,683d8d06c709d34c0311efa6,,Vita ipsam cedo bestia veritas.,app_mobile
683d8d06c709d34c0311e86f,PED-20250325-000064,683d8d05c709d34c0311e2f8,683d8d05c709d34c0311e495,683d8d05c709d34c0311e703,683d8d05c709d34c0311e6fd,683d8d05c709d34c0311e706,683d8d05c709d34c0311e705,,Tasty Steel Computer,Gorgeous Steel Gloves,Handmade Aluminum Soap,Handmade Granite Pizza,,3,3,3,3,,104.36473014422614,59.64723394874094,65.45114075337409,94.33187121712582,,0,0,0,0,,Autem cubo depopulo beneficium caritas voluptatem.,Possimus degero vociferor perferendis armarium victus nobis acerbitas tactus.,Aveho somnus ubi virga dolor.,Ullus benigne architecto socius aliqua varius attonbitus cibo acerbitas conturbo.,,971.38,5.073198309410519,0,976.46,dinheiro,Visa,7553,aprovado,delivery,Lake Drive,798,,West Yorkshire,South Giovanni,OH,41412-301,-12.1323,-7.4919,a_caminho,recebido,confirmado,em_preparo,a_caminho,,2025-03-25T14:27:01.708Z,2025-03-25T16:42:57.462Z,2025-03-25T18:23:22.156Z,2025-03-25T19:28:27.960Z,,Pedido recebido,Confirmado pelo restaurante,Em preparo,Saiu para entrega,,2025-03-25T14:27:01.708Z,2025-03-25T19:38:46.786Z,Stephen,754.839.5520 x150,,,Somniculosus succedo adipisci itaque.,app_mobile
683d8d06c709d34c0311e874,PED-20250526-000069,683d8d05c709d34c0311e43d,683d8d05c709d34c0311e49a,683d8d05c709d34c0311e75d,683d8d05c709d34c0311e75c,683d8d05c709d34c0311e753,683d8d05c709d34c0311e751,,Modern Plastic Towels,Practical Silk Keyboard,Rustic Rubber Shirt,Oriental Rubber Shirt,,2,1,2,1,,66.26194763020837,61.47711299328661,67.61523903438717,80.00683134905442,,0,0,0,0,,Iusto altus pecus arceo cogo victus.,Caecus ars solutio ager truculenter adversus.,Varietas cattus deorsum comparo surculus alias abduco cogito tantum adamo.,Sopor compono perferendis harum iste umquam voco cui ascit depraedor.,,409.24,10.083884337529282,0,419.32,pix,Visa,5687,recusado,retirada,Colby Wells,3419,Apto 105,Tyne and Wear,South Clarabellechester,KS,24868-265,-2.4587,75.2008,entregue,recebido,confirmado,em_preparo,a_caminho,entregue,2025-05-26T03:02:19.739Z,2025-05-26T03:17:22.257Z,2025-05-26T04:27:06.253Z,2025-05-26T08:11:11.825Z,2025-05-26T11:57:22.149Z,Pedido recebido,Confirmado pelo restaurante,Em preparo,Saiu para entrega,Entregue com sucesso,2025-05-26T03:02:19.739Z,2025-05-26T19:07:39.251Z,Opal,290-500-2560,683d8d06c709d34c0311ee7a,,Demulceo tripudio auxilium abscido pecto blanditiis.,app_mobile
683d8d06c709d34c0311e87c,PED-20241109-000077,683d8d05c709d34c0311e36b,683d8d05c709d34c0311e47c,683d8d05c709d34c0311e535,,,,,Elegant Ceramic Chair,,,,,1,,,,,120.82711300061811,,,,,0,,,,,Vetus cimentarius autus vetus iusto.,,,,,120.83,9.348929365026832,0,130.18,cartao_credito,Visa,6856,recusado,retirada,Stanley Forks,799,,Rutland,East Jaunita,MN,24285-343,-144.1711,-83.9389,entregue,recebido,confirmado,em_preparo,a_caminho,entregue,2024-11-09T07:07:39.942Z,2024-11-09T07:52:25.339Z,2024-11-09T11:11:52.010Z,2024-11-09T16:30:46.940Z,2024-11-09T18:02:34.480Z,Pedido recebido,Confirmado pelo restaurante,Em preparo,Saiu para entrega,Entregue com sucesso,2024-11-09T07:07:39.942Z,2024-11-09T21:24:25.643Z,Augustus,806-481-6796 x077,683d8d06c709d34c0311ee79,,Thesis denuo vesco.,website
683d8d06c709d34c0311e87d,PED-20250423-000078,683d8d05c709d34c0311e46d,683d8d05c709d34c0311e489,683d8d05c709d34c0311e61c,,,,,Oriental Metal Car,,,,,1,,,,,105.17913258243925,,,,,0,,,,,Carus contego pauper.,,,,,105.18,9.182936632008964,0,114.36,cartao_debito,Visa,0937,aprovado,retirada,Rau Mall,4615,,South Yorkshire,New Haven,AK,44767-839,78.4602,-51.2041,entregue,recebido,confirmado,em_preparo,a_caminho,entregue,2025-04-23T23:14:37.792Z,2025-04-24T00:47:22.455Z,2025-04-24T05:35:15.868Z,2025-04-24T10:45:17.110Z,2025-04-24T15:37:48.172Z,Pedido recebido,Confirmado pelo restaurante,Em preparo,Saiu para entrega,Entregue com sucesso,2025-04-23T23:14:37.792Z,2025-04-24T13:24:53.360Z,Joyce,1-617-791-2375,683d8d06c709d34c0311eeda,,Cras tolero tactus conduco vomica catena reiciendis aeger comedo tollo.,app_mobile
683d8d06c709d34c0311e87e,PED-20240710-000079,683d8d05c709d34c0311e45a,683d8d05c709d34c0311e48d,683d8d05c709d34c0311e662,683d8d05c709d34c0311e66a,,,,Rustic Granite Fish,Rustic Steel Chips,,,,1,3,,,,59.239904330827216,88.92475050317282,,,,0,0,,,,Carpo canonicus sponte tunc aer cunctatio.,Statua speciosus coerceo sto dolorem totus aegrotatio.,,,,326.01,10.23997793970993,0,336.25,dinheiro,Visa,7187,aprovado,delivery,Bergstrom Green,1206,,Marion County,West Tamara,WI,88922-176,160.7385,76.5339,entregue,recebido,confirmado,em_preparo,a_caminho,entregue,2024-07-10T09:15:11.973Z,2024-07-10T10:12:22.855Z,2024-07-10T13:38:05.300Z,2024-07-10T19:59:26.700Z,2024-07-10T23:44:48.453Z,Pedido recebido,Confirmado pelo restaurante,Em preparo,Saiu para entrega,Entregue com sucesso,2024-07-10T09:15:11.973Z,2024-07-10T16:25:11.894Z,Marlen,762.884.3094 x675,683d8d06c709d34c0311eee6,,Admitto theologus adiuvo astrum pecco excepturi advoco.,telefone
683d8d06c709d34c0311e884,PED-20240720-000085,683d8d05c709d34c0311e33e,683d8d05c709d34c0311e48d,683d8d05c709d34c0311e66d,683d8d05c709d34c0311e669,683d8d05c709d34c0311e664,683d8d05c709d34c0311e65e,683d8d05c709d34c0311e668,Tasty Marble Chicken,Soft Cotton Ball,Bespoke Granite Cheese,Luxurious Marble Gloves,Ergonomic Ceramic Car,2,2,1,3,2,89.42831803964079,10.497083110887143,89.44591022589236,83.25486782953948,139.38509145393184,0,0,0,0,0,Succurro cariosus corporis suscipit.,Adipiscor cresco credo spectaculum argumentum teres voluptas textilis cibo culpo.,Admiratio debitis carus conitor.,Expedita vester ancilla desparatus surculus socius argumentum abduco acceptus.,Tremo solio alias crur aranea spero aegrotatio.,817.83,7.500550432596576,0,825.33,pix,Visa,6876,recusado,retirada,Koepp Ville,297,,Northamptonshire,Brekkeboro,VA,59765-630,-72.3045,-80.0341,cancelado,recebido,confirmado,em_preparo,a_caminho,cancelado,2024-07-20T20:30:02.462Z,2024-07-20T21:49:32.126Z,2024-07-21T02:14:11.609Z,2024-07-21T08:37:30.214Z,2024-07-21T10:48:51.467Z,Pedido recebido,Confirmado pelo restaurante,Em preparo,Saiu para entrega,Pedido cancelado,2024-07-20T20:30:02.462Z,2024-07-21T01:30:54.670Z,Dasia,1-963-237-6154 x33264,,,Iure debitis summa vere spiculum tres.,app_mobile
683d8d06c709d34c0311e88d,PED-20241114-000094,683d8d05c709d34c0311e310,683d8d05c709d34c0311e480,683d8d05c709d34c0311e586,,,,,Frozen Bamboo Car,,,,,1,,,,,76.70166144873289,,,,,0,,,,,Tandem caveo accendo.,,,,,76.7,5.453408398762161,0,82.16,cartao_credito,Visa,2241,pendente,delivery,Trinity Road,29701,,Central,Arnefield,AK,07543-955,-162.775,-64.4731,cancelado,recebido,confirmado,em_preparo,a_caminho,cancelado,2024-11-14T04:44:32.467Z,2024-11-14T06:40:53.064Z,2024-11-14T07:40:23.273Z,2024-11-14T10:39:13.514Z,2024-11-14T18:36:03.017Z,Pedido recebido,Confirmado pelo restaurante,Em preparo,Saiu para entrega,Pedido cancelado,2024-11-14T04:44:32.467Z,2024-11-14T06:28:41.007Z,Urban,232.794.6314 x0158,,,Tametsi corrumpo aliqua labore accedo accedo.,telefone
